project,all_mutants,smackEvo_mutants_killed,kex_mutants_killed,smackRC_mutants_killed,jdart_mutants_killed,jdoop_mutants_killed,exliDev_mutants_killed,exliEvo_mutants_killed,exliRC_mutants_killed
jonatan-kazmierczak-class-visualizer-71015106c3316c02d366af71d9883c909d9ac772-GUIHandler-L35_L45,27,0,0,0,0,0,0,0,0
joniles-mpxj-91540932b1db27a525f1ee9e9fb9d878acedfc74-MPPAssignmentField-L56_L59,12,12,12,12,0,12,0,12,0
joniles-mpxj-91540932b1db27a525f1ee9e9fb9d878acedfc74-MPPProjectField-L52_L55,12,12,12,12,0,12,0,12,0
joniles-mpxj-91540932b1db27a525f1ee9e9fb9d878acedfc74-MPPResourceField-L55_L58,12,12,12,12,0,12,0,12,0
joniles-mpxj-91540932b1db27a525f1ee9e9fb9d878acedfc74-MPPTaskField-L55_L58,12,12,12,12,0,12,0,12,0
jruby-jcodings-4eb6216f88f2b4ce80b555cc58e3f86e88b72c86-Transcoding-L231_L245,81,70,56,77,0,0,0,0,0
jruby-joni-d4696c4f6dcdd1484895abae4b9b3c62874759e1-Lexer-L1178_L1183,18,0,15,0,0,0,12,12,0
jruby-joni-d4696c4f6dcdd1484895abae4b9b3c62874759e1-Matcher-L341_L349,47,47,43,47,42,0,37,0,0
jruby-joni-d4696c4f6dcdd1484895abae4b9b3c62874759e1-Matcher-L352_L362,41,40,36,40,36,0,19,0,0
jruby-joni-d4696c4f6dcdd1484895abae4b9b3c62874759e1-Matcher-L434_L442,38,37,34,33,34,0,23,31,0
jtidy-jtidy-aade7c5a6c1007d013859ac95378a2d469f5e254-Lexer-L2517_L2525,28,0,22,10,22,19,10,0,0
jtidy-jtidy-aade7c5a6c1007d013859ac95378a2d469f5e254-PPrint-L737_L778,520,0,423,148,476,300,126,0,0
jtidy-jtidy-aade7c5a6c1007d013859ac95378a2d469f5e254-PPrint-L904_L912,10,0,5,10,7,10,0,0,0
junichi11-netbeans-color-codes-preview-97a0262a3c15ab5842c43b68019e1e355ad7d3a8-ColorCodesPanel-L102_L108,12,0,0,0,0,0,0,0,0
junichi11-netbeans-color-codes-preview-97a0262a3c15ab5842c43b68019e1e355ad7d3a8-HexCssColorCodesProvider-L121_L131,33,0,0,0,0,0,0,0,0
keighrim-mae-annotation-a4bf15aaad14f80b4c6a076bd01c58f6e4d07000-FontHandler-L129_L132,2,0,0,1,0,0,0,0,0
keighrim-mae-annotation-a4bf15aaad14f80b4c6a076bd01c58f6e4d07000-MaeAgreementGUI-L291_L295,12,11,2,2,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-ActionFormMapper-L928_L935,15,12,0,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-ActionValidator-L745_L745,3,0,0,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-GodHandableAction-L418_L421,5,3,0,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-JsonUnifiedTextReadingFilter-L45_L52,10,6,0,0,0,0,6,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-MDCHook-L95_L98,6,3,0,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-RequestLoggingFilter-L751_L754,5,1,0,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-RestfulStructuredMethodVerifier-L423_L423,5,5,0,0,4,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-SimpleAsyncManager-L733_L736,15,14,0,0,0,0,0,0,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-ConnectionInfo-L507_L508,13,0,0,0,0,0,6,4,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-FunctionNode-L105_L109,4,4,4,2,0,4,3,3,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-SelectPlan-L292_L298,8,2,4,0,0,0,6,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-LettuceExtension-L220_L228,11,0,8,0,0,0,0,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-RedisChannelHandler-L183_L190,10,0,5,5,0,0,3,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-RedisClusterClient-L1016_L1024,10,2,3,0,0,0,0,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-RedisClusterClient-L997_L1004,9,0,5,5,0,0,0,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-RedisURI-L926_L930,5,0,2,2,0,0,0,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-StatefulRedisConnectionImpl-L189_L191,5,0,0,0,0,0,0,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-StatefulRedisConnectionImpl-L220_L225,9,0,0,0,0,0,0,0,0
loehndorf-scengen-5e11067f76f5631a31b75f823cd3666a769b098f-Generator-L186_L195,79,63,0,0,0,0,59,0,0
logpresso-CVE-2021-44228-Scanner-35c37dd6941d6b77d103229302cadd473b97a816-Configuration-L348_L364,62,39,36,41,0,40,0,0,0
lzgabel-camunda-cloud-bpmn-converter-5a301723aa17c90a090c235f91d5491a1f7c249f-IntermediateCatchEventProcessor-L48_L61,15,14,9,14,0,12,0,0,0
magdel-MapNav-97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3-MapCanvas-L1732_L1734,90,24,0,24,0,0,0,0,0
magdel-MapNav-97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3-MapCanvas-L5412_L5414,30,30,25,30,0,0,0,0,0
magdel-MapNav-97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3-MapForms-L1022_L1049,280,111,69,0,0,0,0,0,0
mangstadt-biweekly-5baf97e7f64d1daf0c4f6277b3600021be28303e-RecurrenceIteratorFactory-L232_L233,35,34,34,0,0,0,33,0,0
MarkShen1992-Mashibing_High_Concurrency-f408144caf72de0391f6e271eec6b92021ab1ca4-TicketSeller2-L26_L34,30,16,16,16,0,16,0,0,0
MarkShen1992-Mashibing_High_Concurrency-f408144caf72de0391f6e271eec6b92021ab1ca4-TicketSeller4-L26_L33,9,5,5,5,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-Linker-L408_L417,11,0,0,0,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-Linker-L430_L442,16,15,8,8,0,8,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-NarCompileMojo-L352_L362,11,2,5,0,0,2,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-NarIntegrationTestMojo-L708_L718,32,25,1,4,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-NarIntegrationTestMojo-L952_L955,10,10,9,4,0,0,0,0,0
maxmind-geoip-api-java-0ed8a38981512667533d47204486aae0278a1bc8-regionName-L11_L23,363,332,0,123,0,13,0,0,0
maxmind-geoip-api-java-0ed8a38981512667533d47204486aae0278a1bc8-timeZone-L33_L81,238,238,71,95,0,95,0,72,0
messai-engineering-Yuga-40b006970e6e9a1eb5fc13e739f22232c683a965-Yuga-L239_L245,55,48,1,3,0,0,29,22,4
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L118_L138,356,300,35,16,0,16,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L1699_L1708,155,154,133,10,0,10,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L1710_L1725,228,219,124,14,0,14,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L238_L255,244,219,86,22,0,22,0,0,51
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L3109_L3123,82,74,65,1,0,21,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L4177_L4190,71,66,63,51,0,33,0,0,0
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-SVD-L161_L168,50,21,16,21,0,6,0,41,41
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-SVD-L415_L417,54,54,0,54,0,0,0,54,54
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-SVD-L69_L78,49,44,15,18,0,0,0,43,43
mjsalerno-UnoBot-4ee2ef9abe11a299a434f9ea998b6dddd8a4b0aa-UnoBot-L576_L587,92,89,39,63,0,0,0,0,0
mojohaus-license-maven-plugin-b9ec9b85e32fa978b8bdd9aee018b0bf94a518fe-CalcFileWriter-L608_L620,7,4,1,0,0,0,1,0,0
mojohaus-license-maven-plugin-b9ec9b85e32fa978b8bdd9aee018b0bf94a518fe-ExcelFileWriter-L483_L495,7,4,1,0,0,0,1,0,0
monkeymq-jgossip-4bfc8e791381f70d62ea4ad6d8ae952da840dd0d-UDPMsgService-L97_L101,9,6,6,2,0,2,0,0,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-AbstractParser-L324_L329,21,18,19,18,0,0,17,17,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-ASMAccessorOptimizer-L1212_L1220,5,0,0,0,0,0,0,0,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-ASMAccessorOptimizer-L1833_L1842,29,24,21,15,0,0,23,0,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-ASMAccessorOptimizer-L1991_L1996,27,24,7,8,0,0,23,0,0
narupley-not-going-to-be-commons-ssl-346bb4e8481316687a643219800a398ecd8f62a8-PKCS8Key-L659_L695,97,67,0,0,0,37,80,0,0
Neop-mudmap2-070650853bc37663525f0d62fb54a029e364eafd-WorldFileJSON-L347_L362,45,39,0,0,0,0,31,31,0
nothingax-micro-DB-1bbae368f7670f94130606fa65bcbc8ccbb89b98-Aggregate-L74_L81,7,6,6,6,0,6,6,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L4311_L4320,24,0,9,0,0,4,0,0,0
openskynetwork-java-adsb-7d73726841d98357da360ea631bbe12d3def86cc-ModeSDecoder-L146_L152,58,0,15,0,0,0,38,0,0
OWASP-json-sanitizer-fc612ab374de73d03864d56fb87b6a103b234489-JsonSanitizer-L342_L350,61,29,14,29,11,29,48,15,0
OWASP-json-sanitizer-fc612ab374de73d03864d56fb87b6a103b234489-JsonSanitizer-L353_L362,83,68,22,44,21,22,57,7,0
package-url-packageurl-java-47351deccffb9394df42b913f59ffc00741af0b6-PackageURL-L419_L422,4,3,0,0,0,0,0,0,0
peterbencze-serritor-158939359c0b0608686afd34bba582c9157dd362-WebDriverFactory-L96_L104,23,19,15,0,0,0,0,0,0
PeterisP-morphology-1195adb7bb994292e5b06f2b20f4feb6191ca951-Mijas-L122_L125,66,0,0,0,0,0,10,0,0
PeterisP-morphology-1195adb7bb994292e5b06f2b20f4feb6191ca951-Mijas-L767_L774,159,0,0,0,0,0,11,0,0
pfmiles-min-velocity-4e8ec4f64681c1d6941bf8d90a51849e87b86cf5-ParserTokenManager-L4456_L4460,34,32,7,19,0,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-StringInspector-L418_L424,97,89,66,58,0,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-StringInspector-L453_L463,83,76,70,70,28,0,0,0,0
PlayPen-playpen-core-dd867086481d93a439cb0270eaa7272bacf75493-FileProcessListener-L40_L45,3,2,2,0,0,0,0,0,0
PlayPen-playpen-core-dd867086481d93a439cb0270eaa7272bacf75493-FileProcessListener-L54_L59,3,3,1,0,0,0,0,0,0
PlayPen-playpen-core-dd867086481d93a439cb0270eaa7272bacf75493-Network-L376_L383,11,4,2,0,0,2,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-ExpressionParser-L173_L189,135,67,34,44,0,13,39,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Parser-L611_L613,19,0,1,0,0,0,0,0,0
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-CmdAddGroupBy-L26_L28,1,1,1,1,0,1,0,0,0
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-LogBuilder-L656_L663,6,0,0,0,0,0,0,0,1
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-LogBuilder-L667_L673,3,0,0,0,0,0,0,0,0
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L1019_L1024,46,46,43,43,43,46,0,35,0
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L1026_L1031,46,46,43,43,43,45,0,0,0
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L1033_L1038,46,46,43,43,43,0,0,0,0
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L600_L610,40,36,1,30,6,0,0,0,0
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L972_L998,354,272,256,92,267,0,0,56,38
Sayi-swagger-diff-e6abc1483ec90859aeba9d9ad4e7fd0368352d47-ModelDiff-L130_L133,6,5,0,0,0,5,5,0,0
sbesada-java.math.expression.parser-cc92f58f6074b21cf6f5d4056b7f7cc5168f50af-ComplexFunction-L102_L107,24,23,0,9,0,0,0,0,0
sbesada-java.math.numerical.library-a2f18eda6de69c937183771d3b1f268e606a8871-FunctionX-L321_L326,37,31,23,31,0,33,0,25,14
sbesada-java.math.numerical.library-a2f18eda6de69c937183771d3b1f268e606a8871-FunctionXs-L414_L425,39,30,10,11,0,23,23,27,8
seansegal-tincisnotcatan-f7d098c51037cb586147c1bbd5b18c2239df7b32-PlaceInitialSettlement-L90_L97,14,14,0,0,0,0,0,0,0
smola-galimatias-0771a10ef5021181fc172b95ac39e9f4c7ada2e8-URLParser-L472_L479,25,18,13,12,13,18,10,6,0
sorra-TraceSonar-53ece361e0e14027d803ecbeb9f3fea76f7176ff-Traceback-L49_L55,8,8,7,0,0,0,0,0,0
SpringStudent-GyJdbc-0ca78eb623487f137d94eb719a94464d2d0cbbe8-SQL-L108_L114,10,8,0,0,0,0,8,8,8
spullara-java-future-jdk8-5925719802af19ccc6602651fc243b2ff3726b4b-CompletableFutureTest-L356_L364,17,17,14,15,0,0,7,0,7
sranka-jdbcimage-4b16de3a349a30e5d69633a0fea6e08d486392b9-MainToolBase-L387_L390,4,0,0,0,0,0,0,0,0
sranka-jdbcimage-4b16de3a349a30e5d69633a0fea6e08d486392b9-MultiTableConcurrentImport-L39_L44,10,8,6,5,0,5,0,0,0
StarlangSoftware-Corpus-c0b50a746e5179df1b236273bcf1ec6d1cc988c7-SentenceSplitter-L319_L362,58,37,0,0,0,18,0,57,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmMorphologicalAnalyzer-L419_L434,88,38,0,0,0,0,0,0,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmMorphologicalAnalyzer-L494_L502,13,8,4,2,0,2,0,0,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmParse-L615_L623,56,56,33,33,0,33,40,54,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmParse-L631_L637,30,30,20,2,0,16,19,29,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-Transition-L317_L330,45,30,0,15,0,0,44,0,0
StarlangSoftware-TurkishMorphologicalDisambiguation-bf8dbc2cd835c67178eb896939ad1009b6743486-AutoDisambiguator-L275_L281,24,14,0,14,0,14,13,0,0
StaticBeagle-ETK4J-393c622d01b9abfcead5c9c0973b4557173502e2-Bessel-L297_L300,21,18,1,1,0,19,19,19,19
StaticBeagle-ETK4J-393c622d01b9abfcead5c9c0973b4557173502e2-EigenvalueDecomposition-L520_L532,114,106,23,58,0,93,111,111,0
StaticBeagle-ETK4J-393c622d01b9abfcead5c9c0973b4557173502e2-EigenvalueDecomposition-L570_L576,78,72,56,14,0,6,54,23,0
STEMLab-JIneditor-ccca7bec12fe58583d25da0d13ae038b27d34424-CanvasPanel-L401_L417,39,28,0,5,0,14,0,0,0
streamx-co-ExTree-2cb6b78c0eb4dc25fa81f582641b5464779a93fa-ExpressionMethodVisitor-L435_L437,21,19,0,0,0,0,14,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L564_L564,1,1,1,0,0,0,0,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L566_L574,28,26,25,0,0,0,0,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L667_L668,4,4,2,0,0,0,4,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L746_L753,12,2,2,0,0,0,0,0,0
stupid1t-poi-excel-7f1834f1e0fa91bed24591ee43e89d95ec39de98-PoiResult-L80_L88,30,29,27,0,0,20,0,24,0
sylvainlaurent-swagger-validator-maven-plugin-980ad67cf33eb53ba27d44738bb8fe3aac3dba01-MimeTypeValidator-L75_L79,1,1,1,1,0,0,1,1,0
Thare-Lam-fast-elasticsearch-query-builder-bc6e2adf8333363929e68f3c8dc459c320101aef-AggregationHelper-L43_L54,4,4,1,0,0,0,1,0,0
TheHolyWaffle-TeamSpeak-3-Java-API-decd7c8bda74246ac9c0f704599cb4c272ba6181-CommandFuture-L792_L796,14,0,0,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L1397_L1403,66,57,1,0,15,0,43,50,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L1476_L1485,59,54,8,0,4,0,51,53,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-CharacterClass-L507_L519,83,74,73,13,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-CharacterClass-L551_L564,83,76,76,42,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Matcher-L1423_L1427,34,26,30,26,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1129_L1141,87,80,78,46,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1146_L1159,88,81,81,47,0,0,46,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1242_L1246,58,56,56,25,0,0,25,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1462_L1464,7,6,6,0,0,0,0,6,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1474_L1476,7,6,6,0,0,0,0,6,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1618_L1626,18,17,10,0,0,0,0,1,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1633_L1635,7,6,6,0,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1650_L1653,11,11,11,1,0,0,0,11,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1841_L1850,58,41,50,15,0,0,36,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1895_L1912,69,60,0,27,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1975_L2002,104,83,2,56,0,0,40,40,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L521_L539,36,33,0,18,0,0,0,0,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Lexer-L1628_L1633,72,65,62,55,62,0,0,26,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L1146_L1155,26,0,14,13,0,0,0,0,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L2611_L2627,86,0,28,3,0,0,0,0,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L3663_L3671,26,11,14,13,0,0,0,0,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L4496_L4505,39,0,10,13,0,0,0,0,0
tvesalainen-bcc-8bfbb307418a422d57370b2df12fdfb1126f3407-ByteCodeDump-L428_L437,45,19,0,21,0,18,0,0,0
uber-common-jvm-profiler-07ecfce5bbae89cae1415296d4c6eb7cdd7b7dfa-DatadogOutputReporter-L43_L49,0,0,0,0,0,0,0,0,0
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1895_L1900,44,34,15,30,0,0,0,29,0
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1927_L1931,41,40,25,30,0,0,0,0,0
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1941_L1946,44,37,17,32,0,0,0,37,0
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Evidence-L259_L263,15,15,15,6,0,15,15,0,0
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Evidence-L267_L267,5,5,5,1,0,5,4,0,0
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Table-L40_L51,33,27,9,9,0,27,28,0,0
vincentrussell-java-ini-parser-954dd3836aa39dd170202f95e356da1eb86c894d-Ini-L153_L156,1,1,0,1,0,0,0,0,0
vizor-games-infraworld-cornerstone-2f8c792393fd8bbfc09d5bfdd36114230f64aa5c-CastGenerator-L242_L252,14,6,6,1,0,0,0,0,0
vizor-games-infraworld-cornerstone-2f8c792393fd8bbfc09d5bfdd36114230f64aa5c-NestedTypesRemover-L117_L128,11,2,3,2,0,0,0,0,0
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-DoubleFormatter-L33_L42,6,0,0,0,0,0,0,0,0
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-LongFormatter-L33_L43,7,0,0,0,0,0,0,0,0
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-KeyMapper-L62_L62,1,1,1,0,0,1,1,0,0
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-MetaDataParser-L126_L134,11,11,4,0,0,0,0,0,0
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-Validator-L154_L160,19,15,16,0,0,13,16,0,0
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-ProblemDataHandler-L176_L181,3,1,3,1,0,0,0,0,0
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-ProblemDataHandler-L186_L192,3,0,2,0,0,0,0,0,0
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-XParser-L331_L339,20,13,0,0,0,0,0,0,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-ChineseWordTokenizer-L139_L141,5,5,0,2,0,5,0,0,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-ChineseWordTokenizer-L148_L150,5,5,0,2,0,5,0,0,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-DictionaryFactory-L211_L220,52,45,0,27,0,35,0,0,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-DictionaryTools-L101_L113,37,20,0,1,0,1,0,0,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-PureEnglish-L82_L88,20,0,0,16,0,0,0,9,6
yuch7-cwlexec-08b3e8ac1017f5a43d4d33699d1c9d4cb32a89e1-IOUtil-L469_L475,209,208,11,27,0,28,208,0,0
Zettelkasten-Team-Zettelkasten-b68dc7638b9f9287c9528d4171a9014e8ba3eed3-ImportFromZkn-L621_L638,17,7,0,4,0,3,0,0,0
Zettelkasten-Team-Zettelkasten-b68dc7638b9f9287c9528d4171a9014e8ba3eed3-ImportFromZkn-L771_L806,275,170,0,1,0,0,0,0,0
