project,new events,unique new events,new events in fragment,unique new events in fragment,new traces,unique new traces,new traces with events in fragment,unique new traces with events in fragment,new violations,new unique violation,new violations in fragment,new unique violation in fragment
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-ServletResourceProviderFactory-L221_L229,631,66,0,0,17,16,0,0,2,2,1,1
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-DoubleFormatUtil-L102_L179,179,7,0,0,65,7,0,0,441,2,441,2
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageImplRegistry-L325_L343,126,5,0,0,5,5,0,0,1,1,1,1
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageDecoder-L373_L464,14277,77,5,1,106,49,1,1,3705,5,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageEncoder-L649_L675,359,37,26,1,51,12,1,1,6,1,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L298_L320,2635,141,230,6,66,18,3,3,1,1,1,1
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ResourceTracker-L92_L95,52,11,6,1,6,6,1,1,0,0,0,0
apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-XpmImageParser-L311_L351,137,57,47,7,31,12,3,3,0,0,0,0
apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-XpmImageParser-L360_L405,153,27,17,2,25,10,2,2,0,0,0,0
apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-XpmImageParser-L428_L452,142,59,50,3,58,11,3,3,0,0,0,0
apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-XpmImageParser-L553_L577,10628621,105,100,8,65,17,6,6,0,0,0,0
apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-XpmImageParser-L553_L582,1186,72,53,5,67,20,5,5,0,0,0,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-ClassFactory-L146_L161,1090,210,225,4,114,26,3,3,0,0,0,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-EnumDeserializer-L127_L134,42,29,23,1,29,7,1,1,0,0,0,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-Hessian2Input-L2861_L2866,23,21,16,3,18,7,2,2,0,0,0,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-HessianInput-L920_L968,168,84,168,2,84,6,2,2,0,0,0,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-SerializerFactory-L666_L695,179096,148,34,1,40,15,1,1,0,0,0,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-SqlDateDeserializer-L122_L129,53,36,30,1,36,7,1,1,0,0,0,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-StringValueDeserializer-L119_L126,31,19,13,1,19,7,1,1,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-BundledScriptTracker-L718_L745,32,12,7,3,10,10,3,3,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-BundledScriptTracker-L723_L742,268,43,6,2,65,25,2,2,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-BundledScriptTracker-L723_L745,6352,73,21,2,153,36,2,2,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-MergingServletResourceProvider-L91_L114,4240,90,93,1,54,11,1,1,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-MergingServletResourceProvider-L96_L100,31,26,24,6,13,9,3,2,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-ServletResourceProviderFactory-L290_L338,8068,220,7612,22,1532,20,27,7,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-ServletResourceProviderFactory-L308_L337,3387,90,3184,4,566,14,27,4,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-SlingServletResolver-L540_L573,9157,68,4991,1,67,18,1,1,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-SlingServletResolver-L677_L679,4,4,4,1,4,2,1,1,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-WebConsolePlugin-L422_L446,159,21,12,4,18,12,3,2,0,0,0,0
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-WebConsolePlugin-L422_L448,157,21,12,5,18,12,3,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-AbstractResourcesDSCComment-L119_L140,661,302,594,2,302,11,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ASCII85InputStream-L123_L149,2,2,2,1,2,1,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-CIELabColorSpace-L95_L101,32,18,32,2,18,4,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ClasspathResource-L84_L107,14,12,7,3,6,6,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-DSCParser-L135_L163,115,20,9,2,15,9,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-DSCParser-L148_L158,25,9,4,1,9,7,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-FileCacheSeekableStream-L227_L232,0,0,0,0,0,0,0,0,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-Glyphs-L655_L679,148,40,88,1,40,10,1,1,3,1,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-Glyphs-L655_L707,55165,194,252,7,4649,43,6,6,12,2,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageImplRegistry-L328_L342,636,142,186,2,104,19,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageIOTIFFImageWriter-L109_L119,86,32,45,2,29,15,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageLoaderRawJPEG-L223_L257,755,48,18,1,48,29,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageManager-L187_L197,4711,145,63,1,135,50,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageWriterRegistry-L147_L155,18184,221,13553,5,105,45,3,3,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageWriterRegistry-L148_L154,5155,81,2990,2,70,26,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-MemoryCacheSeekableStream-L232_L237,0,0,0,0,0,0,0,0,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-NamedColorProfileParser-L103_L139,284,130,126,61,126,14,61,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-NamedColorSpace-L95_L101,22,15,22,2,15,4,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGFile-L197_L208,249,84,108,3,89,32,3,3,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGFile-L227_L254,287,47,17,2,52,25,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGFile-L78_L119,462,83,168,1,99,17,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageDecoder-L1098_L1108,275,75,70,4,7,7,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageDecoder-L1186_L1191,265,44,41,4,47,29,3,3,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageDecoder-L369_L477,466,56,15,3,93,42,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageDecoder-L527_L594,1391,130,92,5,54,27,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PreloaderTIFF-L145_L180,275,18,0,0,15,11,0,0,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L186_L195,59651714,61,22,2,56,16,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L231_L246,394,83,185,1,82,11,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L249_L258,189724,74,34,2,72,16,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L286_L290,661,46,18,2,24,16,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L306_L318,1792,77,197,2,72,18,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L349_L393,1299,9,10,1,9,7,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSResource-L97_L100,0,0,0,0,0,0,0,0,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFDirectory-L591_L598,124,6,0,0,6,6,0,0,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImageEncoder-L247_L395,5057,228,216,3,9,9,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImageEncoder-L951_L988,1934,97,92,1,97,6,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImageEncoder-L97_L109,3620,301,59,2,95,33,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-XMPHandler-L259_L293,580,16,9,1,15,7,1,1,0,0,0,0
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-Cache-L264_L285,7390,26,0,0,45,13,0,0,2,2,2,2
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-Cache-L589_L594,1736,54,24,2,39,26,2,2,0,0,0,0
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-Cache-L633_L732,2725,337,312,4,161,45,4,4,0,0,0,0
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-DohResolver-L386_L414,118,24,18,3,17,10,3,3,8,2,8,2
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-Generator-L113_L221,456,262,380,34,167,50,30,23,0,0,0,0
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-NioTcpClient-L139_L141,139,7,0,0,6,6,0,0,2,1,2,1
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-NioTcpClient-L241_L247,149,16,8,2,16,12,2,2,4,2,4,2
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-TCPClient-L34_L39,425,11,2,2,8,8,2,2,1,1,1,1
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-AbstractBasedRestfulRouter-L180_L205,324,111,127,4,75,18,4,4,0,0,0,0
attoparser-attoparser-e1049dcd8261fe315b679029e711a9f5ea03f1cc-TextUtil-L751_L756,0,0,0,0,0,0,0,0,0,0,0,0
bkatwal-kafka-solr-sink-connector-f0d022607f3d5419053bfb0c87a710fb37e00896-PlainJsonDocMappersImpl-L82_L88,3802,54,318,2,7,7,1,1,4,2,4,2
bruceran-krpc-33c83d78574a472e3cbfc75afa87ec57253cc90c-DefaultServiceMetas-L129_L172,12,9,4,1,7,7,1,1,1,1,1,1
bruceran-krpc-33c83d78574a472e3cbfc75afa87ec57253cc90c-DefaultValidator-L88_L120,176,54,57,1,35,9,1,1,0,0,0,0
bruceran-krpc-33c83d78574a472e3cbfc75afa87ec57253cc90c-DefaultWebReq-L166_L175,637,6,0,0,5,5,0,0,3,3,3,3
bruceran-krpc-33c83d78574a472e3cbfc75afa87ec57253cc90c-MessageToBean-L218_L226,1700,32,23,1,29,7,1,1,0,0,0,0
bruceran-krpc-33c83d78574a472e3cbfc75afa87ec57253cc90c-RpcCallableBase-L653_L660,100572,519,30,1,5083,486,1,1,0,0,0,0
bruceran-krpc-33c83d78574a472e3cbfc75afa87ec57253cc90c-RpcCallableBase-L926_L948,99360,547,65,4,4987,487,5,5,0,0,0,0
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-LOCRecord-L199_L212,95,91,85,12,20,12,7,3,0,0,0,0
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-TXTBase-L82_L89,4219,93,33,4,175,31,4,4,0,0,0,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-DateTimeValue-L140_L241,497,25,3,1,101,34,1,1,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-AwsSigner4Request-L174_L181,982,69,102,6,24,12,3,3,5,4,5,4
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-BuildImageConfiguration-L803_L810,2313,176,151,4,96,26,3,3,1,1,1,1
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-BuildService-L253_L258,270,59,34,3,25,17,3,3,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-BuildService-L316_L326,1604,127,386,3,79,34,3,3,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-BuildService-L372_L394,201,89,85,4,57,17,4,4,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-BuildXService-L145_L206,73,44,0,0,12,12,0,0,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ConfigHelper-L145_L149,141,46,77,2,28,14,2,2,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ConfigHelper-L62_L66,1115,142,99,6,74,29,6,6,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ContainerNamingUtil-L152_L161,1629,15,8,2,14,8,2,2,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ContainerTracker-L127_L140,5107,39,20,3,34,16,2,2,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ContainerTracker-L149_L155,1447,67,789,8,36,22,6,6,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ContainerTracker-L167_L174,215,79,86,4,45,16,4,4,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-DockerComposeServiceWrapper-L387_L399,962,213,351,5,138,23,5,5,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-DockerFileBuilder-L267_L295,503,219,458,35,107,22,33,7,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-DockerFileBuilder-L345_L357,4123,432,535,4,247,24,4,4,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ImageNameFormatter-L223_L245,32,19,13,13,19,9,13,3,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-JibServiceUtil-L328_L332,828,61,251,6,77,21,5,5,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-UrlBuilder-L276_L284,8390,279,6397,27,164,19,25,4,0,0,0,0
fizzed-jne-199d45bd8728807b61356fd1c0f17079b567ed60-NativeTarget-L300_L318,175,8,0,0,6,6,0,0,0,0,0,0
googleapis-disco-to-proto3-converter-32cf5993853b1218e97e54c556f3922f49014eb8-DocumentToProtoConverter-L338_L512,424,111,140,4,73,27,4,4,0,0,0,0
googleapis-disco-to-proto3-converter-32cf5993853b1218e97e54c556f3922f49014eb8-Proto3Writer-L138_L187,154,18,20,3,13,11,3,3,0,0,0,0
Isaac315-sql-translator-78f3fb0091c94563a640ef672de3e75e2b5c3bb2-OracleToMySqlOutputVisitor-L292_L331,6617,324,14,1,75,36,1,1,0,0,0,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-BaseSelectQueryImpl-L93_L96,37,26,28,6,16,11,5,3,0,0,0,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-BaseSelectQueryImpl-L93_L97,37,26,28,7,16,11,7,5,0,0,0,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-ComplexColumnSupport-L74_L96,3234,21,0,0,22,12,0,0,0,0,0,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-CompoundOleUtil-L105_L114,44,8,0,0,9,8,0,0,0,0,0,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-DatabaseImpl-L1416_L1432,1905,86,0,0,29,19,0,0,0,0,0,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-DatabaseImpl-L1681_L1738,143,17,0,0,9,9,0,0,0,0,0,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-Expressionator-L1263_L1301,222,37,21,21,29,14,21,6,0,0,0,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-Expressionator-L617_L639,1547,7,0,0,6,6,0,0,0,0,0,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-PatternColumnPredicate-L67_L84,1044,34,18,15,38,23,15,8,0,0,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-GIFImageWriter-L165_L199,139,5,0,0,5,5,0,0,0,0,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-PCXImageReader-L412_L417,256,90,83,1,88,6,1,1,0,0,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-TIFFField-L586_L591,48,5,0,0,5,5,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-ActionMapping-L315_L321,58,21,12,1,8,8,1,1,1,1,1,1
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-ActionValidator-L592_L614,630,75,67,12,41,27,11,5,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-FormCoinsHelper-L320_L326,98,48,60,5,33,16,5,4,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-FormCoinsHelper-L422_L424,10,10,5,2,9,8,2,2,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-FormCoinsHelper-L501_L511,1765,122,333,4,165,20,11,4,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-InOutLogger-L128_L151,267,25,63,2,24,10,2,2,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-InOutLogger-L308_L322,7,6,1,1,6,6,1,1,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-LaReflectiveTypeAdapterFactory-L144_L147,197,29,29,2,25,7,1,1,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-RequestLoggingFilter-L1023_L1035,49,6,0,0,5,5,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-RequestLoggingFilter-L548_L561,35,25,27,2,14,10,1,1,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-RestfulRomanticVerifier-L403_L440,728,220,274,2,147,14,2,2,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-UserMessages-L154_L162,240,53,43,2,35,11,2,2,0,0,0,0
